Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D8.0mm_P2.50mm,1,C_Polarized,
C2,0805,1,0.1u,
D1,D_SMA,1,1N4001,
D2,0805,1,YELLOW,
D3,0805,1,BLUE,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
"J1, J10, J4",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,3,Conn_01x02_Male,
"J11, J3, J5, J6, J7, J8, J9",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,7,Screw_Terminal_01x02,
"J12, J2",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Male,
K1,Relay_DPDT_Omron_G2RL-2,1,Relay_DPDT,
PS2,HLK-2M05,1,HLK-2M05,
Q1,SOT-23_Handsoldering,1,2SC1945,
"R1, R2, R3, R4",0603,4,1K,
