Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CP_Radial_D8.0mm_P2.50mm,2,330u 16V,
"C3, C4, C8, C9",1206,4,47u,
"C6, C7",1206,2,10U,
D1,0805,1,BLUE,
D2,0805,1,WHITE,
"DIG1, DIG2, DIG4, DIG5, DIG6, DIG7",JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,6,Conn_01x02_Male,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
J1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02_Male,
J2,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,GROUNDS,
J3,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,CHANSEL,
J4,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,DOLBY,
J5,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,FUTURE,
J6,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,UPRO,
"J7, J8, J9",JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,3,COMPAT,
PS2,HLK-10M05,1,HLK-10M05,
R1,0805,1,510R,
R2,0805,1,750R,
U1,SOT-223,1,AZ1117-3.3,
